- --- Bind list start ---
[left] primary is[Left] secondary is[NULL]
[right] primary is[Right] secondary is[NULL]
[up] primary is[Up] secondary is[NULL]
[down] primary is[Down] secondary is[NULL]
[jump] primary is[Space] secondary is[NULL]
[crouch] primary is[Ctrl] secondary is[NULL]
[crouch_toggle] primary is[NULL] secondary is[NULL]
[accel] primary is[Shift] secondary is[NULL]
[sprint_toggle] primary is[X] secondary is[NULL]
[forward] primary is[W] secondary is[NULL]
[back] primary is[S] secondary is[NULL]
[lstrafe] primary is[A] secondary is[NULL]
[rstrafe] primary is[D] secondary is[NULL]
[llookout] primary is[Q] secondary is[NULL]
[rlookout] primary is[E] secondary is[NULL]
[turn_engine] primary is[NULL] secondary is[NULL]
[cam_1] primary is[NULL] secondary is[NULL]
[cam_2] primary is[NULL] secondary is[NULL]
[cam_3] primary is[NULL] secondary is[NULL]
[cam_4] primary is[NULL] secondary is[NULL]
[cam_zoom_in] primary is[+] secondary is[NULL]
[cam_zoom_out] primary is[-] secondary is[NULL]
[torch] primary is[L] secondary is[NULL]
[night_vision] primary is[N] secondary is[NULL]
[wpn_1] primary is[1] secondary is[NULL]
[wpn_2] primary is[2] secondary is[NULL]
[wpn_3] primary is[3] secondary is[NULL]
[wpn_4] primary is[4] secondary is[NULL]
[wpn_5] primary is[5] secondary is[NULL]
[wpn_6] primary is[6] secondary is[NULL]
[wpn_next] primary is[Y] secondary is[NULL]
[wpn_fire] primary is[mouse1] secondary is[NULL]
[wpn_zoom] primary is[mouse2] secondary is[NULL]
[wpn_zoom_inc] primary is[NULL] secondary is[NULL]
[wpn_zoom_dec] primary is[NULL] secondary is[NULL]
[wpn_reload] primary is[R] secondary is[NULL]
[wpn_func] primary is[V] secondary is[NULL]
[wpn_firemode_prev] primary is[9] secondary is[NULL]
[wpn_firemode_next] primary is[0] secondary is[NULL]
[pause] primary is[Pause] secondary is[NULL]
[drop] primary is[G] secondary is[NULL]
[use] primary is[F] secondary is[NULL]
[scores] primary is[Tab] secondary is[NULL]
[screenshot] primary is[F12] secondary is[NULL]
[quit] primary is[Esc] secondary is[NULL]
[console] primary is[`] secondary is[NULL]
[inventory] primary is[I] secondary is[NULL]
[active_jobs] primary is[P] secondary is[NULL]
[map] primary is[M] secondary is[NULL]
[contacts] primary is[H] secondary is[NULL]
[ext_1] primary is[NULL] secondary is[NULL]
[next_slot] primary is[NULL] secondary is[NULL]
[prev_slot] primary is[NULL] secondary is[NULL]
[use_bandage] primary is[]] secondary is[NULL]
[use_medkit] primary is[[] secondary is[NULL]
[quick_save] primary is[F6] secondary is[NULL]
[quick_load] primary is[F7] secondary is[NULL]
- --- Bind list end   ---
